num_matching_words,weighted_position,docno
0,0.741225550025711,3059
1,0.5230104828159359,1333
2,0.38378438132280523,1156
3,0.3065296814772264,950
4,0.2093730290996947,864
5,0.17713870781669933,731
6,0.16921416973288522,687
7,0.14661615979728387,568
8,0.14121616745581247,498
9,0.11035395548447634,450
10,0.1039647251685027,397
11,0.10393372323145626,374
12,0.07332267161211198,384
13,0.08243894118069352,343
14,0.06966521082344068,302
15,0.07029067457682449,311
16,0.0598723553985369,276
17,0.04743535437535443,232
18,0.04875933639129223,223
19,0.05906731315663287,201
20,0.04859958074247307,220
21,0.03898969190528966,181
22,0.07074311078370632,163
23,0.04396364032404071,149
24,0.04714692900150469,147
25,0.04067905357417845,146
26,0.024471578536285385,116
27,0.03117102944356905,122
28,0.03591025734238379,113
29,0.03147488505074808,71
30,0.030180528006939208,85
31,0.040480582393016315,82
32,0.015276422397349691,60
33,0.027367345788202237,71
34,0.04487650841593028,61
35,0.03124537444825014,46
36,0.02361732124812055,51
37,0.030656335260150037,48
38,0.023022138180459298,48
39,0.010852880934386916,44
40,0.006910960181381013,31
41,0.03437693230896753,32
42,0.003421433956071315,33
43,0.048425854895131196,40
44,0.03236393284958721,31
45,0.0180794517672931,21
46,0.07643118308124752,23
47,0.07410203092528134,26
48,0.0235266738274257,15
49,0.012232290989042017,18
50,0.04199684573607055,24
51,0.04228571428571429,16
52,0.027106227106227107,13
53,0.16557950801699708,12
54,0.0056784819190834135,15
55,0.0019576272323525,13
56,0.05557814131569788,17
57,0.0007017543859649067,15
58,0.013752122241086575,8
59,0.0,12
60,0.020308639150727552,16
61,0.023005565862708702,11
62,0.011255978774775749,10
63,0.2259515313707999,6
64,0.009100831443688579,10
65,0.00408163265306122,10
66,0.00923737916219118,5
67,0.0,6
68,0.22424812030075186,4
69,0.24197437114380635,5
70,0.04814814814814814,9
71,0.2150803764860092,5
72,0.0025510204081632625,8
73,0.009141902374985066,9
74,0.044897959183673446,4
75,0.0033395176252319,11
76,0.01354695996878805,4
77,0.0013605442176870665,6
78,0.00272108843537415,6
79,0.03289473684210525,4
80,0.0454545454545454,1
81,0.0,2
82,0.005917159763313601,3
83,0.0,4
84,0.0,3
85,0.35412523983952554,2
86,0.0,3
87,0.0,2
88,0.0,1
89,0.4851694915254237,2
90,0.0,1
91,0.0,2
92,0.0285714285714285,1
93,0.0,2
94,0.0,2
96,0.0,3
100,0.0,2
105,0.0,1
107,0.436734693877551,1
108,0.0,1
113,0.0,1
114,0.0,1
115,0.0085470085470085,1
117,0.0352941176470588,1
123,0.0075187969924812,1
128,0.0,1
129,0.0,1
141,0.0,1
142,0.0,1
147,0.0,1
170,0.0246913580246913,1
174,0.0,1
181,0.0,1
191,0.0,1
192,0.00603864734299515,4
194,0.01209677419354835,2
195,0.1775147928994082,1
198,0.0,1
199,0.4177215189873418,1
208,0.0,1
223,0.0,1
228,0.0,1
253,0.0,1
256,0.0,1
266,0.0,1
270,0.5294117647058824,1
293,0.0,1
305,0.0,1
408,0.0,1
410,0.0,1
